,from_addr,block_date,block_number,approx_value
163,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-14,57,35.87251514196396
164,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-15,85,54.244002029299736
165,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-16,203,128.08524243719876
166,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-17,351,225.38947931863368
167,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-18,366,239.98935585748404
168,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-19,408,270.2240468515083
169,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-20,364,243.2070599179715
170,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-21,269,179.17412341106683
171,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-22,240,170.3802314614877
172,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-23,260,181.04557378217578
201,a08fbc834b450044e750b90b2a43fec15ba03fd0c20fd5a3463f9f394235db5d,2018-05-16,369,481.38488495349884
202,a08fbc834b450044e750b90b2a43fec15ba03fd0c20fd5a3463f9f394235db5d,2018-05-17,559,732.9178285300732
203,a08fbc834b450044e750b90b2a43fec15ba03fd0c20fd5a3463f9f394235db5d,2018-05-18,611,814.1414213776588
204,a08fbc834b450044e750b90b2a43fec15ba03fd0c20fd5a3463f9f394235db5d,2018-05-19,485,663.0788575410843
205,a08fbc834b450044e750b90b2a43fec15ba03fd0c20fd5a3463f9f394235db5d,2018-05-20,506,689.6160264611244
206,a08fbc834b450044e750b90b2a43fec15ba03fd0c20fd5a3463f9f394235db5d,2018-05-21,552,765.6361641585827
207,a08fbc834b450044e750b90b2a43fec15ba03fd0c20fd5a3463f9f394235db5d,2018-05-22,433,619.9267376661301
208,a08fbc834b450044e750b90b2a43fec15ba03fd0c20fd5a3463f9f394235db5d,2018-05-23,192,281.25579810142517
214,a0a0f44f1b7a9dbf2e7a7b3622a497302d30d9944527f17c9ea5edd1d71d9400,2018-05-16,1,0.42480599880218506
215,a0a0f44f1b7a9dbf2e7a7b3622a497302d30d9944527f17c9ea5edd1d71d9400,2018-05-18,17,21.839672088623047
216,a0a0f44f1b7a9dbf2e7a7b3622a497302d30d9944527f17c9ea5edd1d71d9400,2018-05-19,50,59.17047727108002
217,a0a0f44f1b7a9dbf2e7a7b3622a497302d30d9944527f17c9ea5edd1d71d9400,2018-05-20,77,95.2402631342411
218,a0a0f44f1b7a9dbf2e7a7b3622a497302d30d9944527f17c9ea5edd1d71d9400,2018-05-21,168,219.28710532188416
219,a0a0f44f1b7a9dbf2e7a7b3622a497302d30d9944527f17c9ea5edd1d71d9400,2018-05-22,197,256.1550858914852
220,a0a0f44f1b7a9dbf2e7a7b3622a497302d30d9944527f17c9ea5edd1d71d9400,2018-05-23,144,196.7683835029602
221,a0a15f4d04b203fe9fa15fc377eeb34810b8f0670b937d9623d9c37d0dcb2036,2018-05-19,65,43.41119415406138
222,a0a15f4d04b203fe9fa15fc377eeb34810b8f0670b937d9623d9c37d0dcb2036,2018-05-20,87,62.270512506365776
223,a0a15f4d04b203fe9fa15fc377eeb34810b8f0670b937d9623d9c37d0dcb2036,2018-05-21,172,126.66455980855972
224,a0a15f4d04b203fe9fa15fc377eeb34810b8f0670b937d9623d9c37d0dcb2036,2018-05-22,682,568.6628498118371
225,a0a15f4d04b203fe9fa15fc377eeb34810b8f0670b937d9623d9c37d0dcb2036,2018-05-23,451,348.82527239155024
232,a0a5ecf0ead1fd01092bbac788368c72ee4dde410e82c6e61a89b0b5c7b2791b,2018-04-26,1,1.0
235,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-04-26,1,2.4000000953674316
236,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-04-27,15,25.69013202190399
237,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-04-28,23,20.37363511323929
238,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-04-29,56,49.11834388971329
239,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-04-30,103,87.46042811870575
240,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-01,107,97.89686626195908
241,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-02,84,74.77931398153305
242,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-03,112,101.56799986958504
243,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-04,213,204.44876968860626
244,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-05,397,381.09576404094696
245,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-06,440,447.5574454665184
246,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-07,397,402.30906883627176
247,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-08,516,532.0454975068569
248,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-09,1097,768.3085042233579
249,a0bfe9f851dc3d8d4327e35c07b77a006b18ba696f6ac66cc23a6c90918a6f8e,2018-05-10,825,460.9687870629132
252,a0c7e08b1baa0393c62152a65f99c75319186ab354890660ab793fc170a6496c,2018-05-07,1,4600.0
272,a0fa291a7c703d4feeb71357f7916c05e8cdd3652070a2177710b44333cb1d22,2018-05-14,15,17.367390133440495
273,a0fa291a7c703d4feeb71357f7916c05e8cdd3652070a2177710b44333cb1d22,2018-05-15,90,93.09984189271927
274,a0fa291a7c703d4feeb71357f7916c05e8cdd3652070a2177710b44333cb1d22,2018-05-16,54,57.823339849710464
275,a0fa291a7c703d4feeb71357f7916c05e8cdd3652070a2177710b44333cb1d22,2018-05-17,18,23.34639024734497
276,a0fa291a7c703d4feeb71357f7916c05e8cdd3652070a2177710b44333cb1d22,2018-05-18,2,1.4399999473243952
279,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-04-25,353,3503.3019664715976
280,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-04-26,514,2614.999917204492
281,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-04-27,534,2177.074375325814
282,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-04-28,489,1606.3929541232064
283,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-04-29,408,710.0023238481954
284,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-04-30,412,1069.5916555020958
285,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-01,433,949.7433926872909
286,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-02,283,852.2665013857186
287,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-03,298,1131.7711363136768
288,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-04,289,1101.9173886477947
289,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-05,335,1136.8726400136948
290,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-06,416,1196.988688826561
291,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-07,389,1140.3679975271225
292,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-08,303,803.8205247819424
293,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-09,115,372.8818611204624
294,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-10,82,649.7023757360876
295,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-11,259,1730.8322274461389
296,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-12,301,1714.5512338876724
297,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-13,294,1607.964489562437
298,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-14,258,1623.6416652332991
299,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-15,252,1611.5183398127556
300,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-16,233,1225.3453794755042
301,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-17,258,932.3679502252489
302,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-18,201,968.8918811902404
303,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-19,246,1402.2225016355515
304,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-20,304,1664.2802114784718
305,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-21,338,1848.2618035078049
306,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-22,325,2134.7579508423805
307,a0fbcacc2343a1e3c426d8063eef677c69dc258ac65b15de99c2ca46361f51e6,2018-05-23,347,1961.1784841269255
308,unknown,2018-04-23,1,0.0
309,unknown,2018-04-25,15722,0.0
310,unknown,2018-04-26,7760,0.0
311,unknown,2018-04-27,7449,0.0
312,unknown,2018-04-28,8273,0.0
313,unknown,2018-04-29,7314,0.0
314,unknown,2018-04-30,8117,0.0
315,unknown,2018-05-01,7855,0.0
316,unknown,2018-05-02,7078,0.0
317,unknown,2018-05-03,7802,0.0
318,unknown,2018-05-04,7071,0.0
319,unknown,2018-05-05,6212,0.0
320,unknown,2018-05-06,7481,0.0
